No.,Mismatch
1,831.6899720304405
2,831.090595037287
3,808.1273166003075
4,727.761365499611
5,713.7059564506881
6,704.6620740206474
7,646.2522758170757
8,636.012699760818
9,566.7825919200994
10,562.9709927073326
11,514.8072870872222
12,512.6519360482629
13,499.8722292703942
14,481.73661193640504
15,477.9975418752573
16,446.9452767842981
17,441.5777825423274
18,436.9059679764232
19,438.31399156023565
20,418.8037194678821
21,398.5622248842164
22,394.9381482019885
23,368.9492992478705
24,365.9370903451311
25,359.90548912765996
26,358.6156042083887
27,350.22088619894714
28,342.11597627981746
29,326.23009659851954
30,322.2682230335465
31,313.0499549627192
32,308.76258092673345
33,308.69113425062295
34,308.2772138034144
35,299.8101151474309
36,297.8152089862564
37,291.5609433457386
38,288.10293627502006
39,289.53102110313534
40,289.58908786284167
41,286.69030691781245
42,282.6533521792936
43,273.23197762574995
44,273.16747900250715
45,268.57325211232745
46,264.1352109858987
47,259.0676605168036
48,258.22113016238825
49,257.8173682345872
50,260.11443514765506
51,258.968784801758
52,248.3449420391938
53,244.36394593583336
54,241.90271691605938
55,235.27954331701005
56,232.99772068643023
57,232.2862410515237
58,232.03324503043524
59,225.43604485299318
60,223.30229243536496
61,224.07121465817784
62,220.77970226627798
63,207.1768620950047
64,204.90316501591056
65,197.5882873773031
66,190.75984660595424
67,187.95593802000502
68,187.27557385820776
69,186.5224835806552
70,174.79398766161137
71,176.40218044203303
72,175.4763382246636
73,169.0096618926162
74,169.19117363252482
75,155.00161072370233
76,153.18418388182215
77,152.7208190201531
78,149.67477294119115
79,147.81706499513322
80,139.04431888863354
81,138.83813925992692
82,142.3651792704541
83,134.49769339459996
84,131.55051748479275
85,131.6288991243724
86,131.90583983786155
87,133.33853161178644
88,131.0669670933932
89,129.48531171101385
90,127.60429101781025
91,129.2186823145411
92,129.05285077369032
93,129.12750413786543
94,127.85605412550736
95,126.89582235849613
96,126.47946642729909
97,125.15160221921658
98,126.096296211786
99,128.50029459221523
100,129.48821284089624
101,129.25666825286086
102,127.78977032229466
103,128.98272865809312
104,128.21516814115554
105,127.72640960758915
106,128.07166040277926
107,127.27710642052179
108,127.36851838184813
109,126.81160123312752
110,126.47497512572794
111,127.14270371510912
112,123.0516268516849
113,123.30843286018516
114,122.35055175211643
115,123.2312253809842
116,119.9654646646194
117,120.65032673921776
118,121.53705483615059
119,122.45438890905484
120,122.23146943660764
121,123.60422762660784
122,122.87291389376317
123,124.66483057708767
124,126.46023334697504
125,122.70112138019253
126,122.5351538016182
127,122.40111845759799
128,123.09351000629879
129,123.56430102483628
130,123.66878096461886
131,123.44297361691336
132,126.6661510461966
133,127.87203602002359
134,125.34791241243397
135,127.00504279517702
136,124.82130998227751
